Date,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
2018-01-31,79.0,20.747,3.807779437991,14.962121212121,-27.882965189564,5.8669818318296,-5.5361863982386,8.5320520090061,38.009278758731,5.1348794013192
2017-07-31,75.0,22.8561,3.2813997138619,14.150943396226,-38.086797851661,-10.545926264173,-11.88826631654,3.926450470052,21.511054276824,-1.0801515502536
2017-01-31,75.0,25.81175,2.9056534330295,14.822134387352,-42.576019110088,-15.036997251948,-13.435866908992,3.6396517322691,6.108356054682,-9.1535666091834
2016-07-31,75.0,24.54655,3.0554191933286,14.880952380952,-39.376603306972,-10.99327363397,-12.449819365151,2.5155519098537,4.4333184525733,-2.6478583182248
2016-01-31,75.0,25.1442,2.9827952370726,15.212981744422,-39.497054014755,-13.936197725741,-6.8944045296917,-6.9023242602802,15.008782917526,-4.9644215725976
2015-07-31,70.0,24.70225,2.833749962048,14.613778705637,-40.840293067892,-18.342665948784,-14.56973364981,-19.416448291585,12.196403861398,-9.9514211414369
2015-01-31,70.45,24.13325,2.9192089751691,14.707724425887,-39.0561800591,-14.232615087478,-15.379763379575,-16.821601931621,14.643852159489,-9.5649908983715
2014-07-31,70.45,20.3877,3.4555148447348,14.692387904067,-27.935039734415,0.64707719329231,-14.99635011481,-12.726629782249,26.5288438897,7.5156852110085
2014-01-31,70.45,20.2838,3.4732150780426,15.235177509461,-24.889924425102,2.7471538263912,-11.808936624474,-6.7353524821862,55.983136242037,1.5251076713758
2013-07-31,70.45,20.1828,3.4905959529897,15.460863204097,-23.395845947557,2.4390814049929,-7.2388794115613,6.1214207596489,42.776600960463,9.5202928284267
2013-01-31,70.33,18.89495,3.7221585661777,16.103417845303,-14.773958939809,13.713506800812,-5.6800850184998,6.9121959530557,38.210209877185,18.662145917137
2012-07-31,70.33,21.048,3.3414101102242,16.251877527441,-22.786594795511,5.6604043224269,-4.8530818999897,-1.5350365481132,7.1359776818156,12.298905046161
2012-01-31,70.22,20.36535,3.4480134149425,16.730121366047,-17.850067069571,14.383983129188,-2.5293624047999,11.943465777187,10.3968074061,14.792302299523
2011-07-31,69.32,17.0219,4.0724008483189,17.052890528905,0.18206268927257,45.209088403542,6.5303425712939,33.569209329324,37.653135643308,40.53914259534
2010-07-31,67.64,19.7476,3.4252263566206,18.117857142857,-8.2528654476638,,,,,
2010-01-31,67.64,18.21005,3.7144324150675,18.893854748603,3.755095392947,,,,,
2009-07-31,67.92,18.66155,3.6395690604478,19.025210084034,1.9487131778101,,,,,
2008-06-30,66.08,14.49795,4.5578857700571,18.509803921569,27.671870309724,,,,,
2007-06-30,52.9,21.11675,2.5051203428558,15.513196480938,-26.53606032681,,,,,
2007-01-31,52.1,21.50115,2.4231262048774,16.180124223602,-24.7476333889,,,,,
2006-05-31,59.05,22.1078,2.6710029944183,19.048387096774,-13.838613083282,,,,,
2006-01-31,62.0,23.8375,2.6009438909282,19.68253968254,-17.430352668947,,,,,
2005-06-30,56.42,24.5409,2.2990191883753,18.437908496732,-24.868653974663,,,,,
2004-05-31,56.42,26.5,2.13,19.455172413793,-26.58425504229,,,,,
2003-04-30,56.57,28.9,1.91,20.874538745387,-27.769762126687,,,,,
2002-04-30,56.28,34.0,1.66,22.602409638554,-33.522324592488,,,,,
2001-04-30,56.0,39.0,1.43,22.047244094488,-43.468604885928,,,,,
2000-04-30,54.37,39.1,1.39,21.661354581673,-44.600116159403,,,,,
